state,year,population,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,violent_crime_rate,murder_rate,rape_rate,robbery_rate,aggravated_assault_rate,property_crime_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate
ALABAMA,2010,4779736.0,18056,273.0,1349.0,4761.0,11673.0,168092,42034.0,115458.0,10600.0,377.761449586337,5.711612524206358,28.22331609946658,99.60801182324714,244.2185091394169,3516.7632689336815,879.4209554669965,2415.572742929735,221.76957053695014
ALASKA,2010,710231.0,4537,31.0,533.0,594.0,3379.0,20259,3105.0,15535.0,1619.0,638.8062475448129,4.3647770936498125,75.04600615855968,83.63476108477383,475.7607032078295,2852.4522303306953,437.1817056704087,2187.3165209628983,227.95400369738857
ARIZONA,2010,6392017.0,26085,409.0,2165.0,6937.0,16574.0,225893,50771.0,153614.0,21508.0,408.0871499559529,6.39860626152903,33.870372998069314,108.52599422060362,259.2921764757509,3533.986220624882,794.2876247043774,2403.2163869401475,336.4822089803579
ARKANSAS,2010,2915918.0,14735,138.0,1312.0,2372.0,10913.0,103775,32511.0,65720.0,5544.0,505.3297109177967,4.7326433733733255,44.99440656424495,81.34659479450382,374.2560661856746,3558.9135222595423,1114.9490486357984,2253.83567027605,190.1288033476936
CALIFORNIA,2010,37253956.0,164133,1809.0,8331.0,58116.0,95877.0,981939,228857.0,600558.0,152524.0,440.5787133049709,4.855860140061367,22.36272571965243,155.99954002200462,257.36058742325247,2635.797927071155,614.3159668734241,1612.065038139842,409.4169220578883
COLORADO,2010,5029196.0,16133,120.0,2198.0,3132.0,10683.0,134992,26153.0,97592.0,11247.0,320.78686135915166,2.3860672759622013,43.704798938040994,62.27635590261345,212.419639242535,2684.166614305746,520.0234789019955,1940.508979964193,223.63415543955736
CONNECTICUT,2010,3574097.0,10057,130.0,583.0,3553.0,5791.0,78386,15172.0,56507.0,6707.0,281.3857598156961,3.637282368105846,16.311812466197757,99.40972502984671,162.02693995154578,2193.169351587268,424.4988314530915,1581.0147290350542,187.65579109912238
DELAWARE,2010,897934.0,5575,48.0,312.0,1829.0,3386.0,30963,7515.0,21519.0,1929.0,620.8696852998105,5.345604465361597,34.74642902485038,203.68980348221584,377.08784832738263,3448.248980437315,836.921199108175,2396.5013018774207,214.82647945171917
FLORIDA,2010,18801310.0,101969,987.0,5373.0,26086.0,69523.0,669035,169119.0,458454.0,41462.0,542.3505064274776,5.249634201021099,28.57779590890209,138.74565123387677,369.77742508367766,3558.4488527661106,899.5064705597641,2438.415195536907,220.52718666943952
GEORGIA,2010,9687653.0,39072,558.0,2093.0,12373.0,24048.0,352679,96723.0,225651.0,30305.0,403.3175011532721,5.75990903059802,21.604820073551355,127.71927318205968,248.23349886706308,3640.4999229431523,998.4151992231763,2329.2638578198457,312.82086590013085
HAWAII,2010,1360301.0,3574,24.0,365.0,1054.0,2131.0,45083,8663.0,31320.0,5100.0,262.7359679953187,1.7643153978420953,26.8322966755152,77.48285122189868,156.65650470006273,3314.192961704799,636.8443454794196,2302.431594183934,374.91702204144525
IDAHO,2010,1567582.0,3465,21.0,525.0,214.0,2705.0,31286,6502.0,23462.0,1322.0,221.04106834602592,1.3396428384607633,33.49107096151908,13.65159844907635,172.55875609696974,1995.8126592420685,414.77893979389916,1496.7000131412583,84.3337063069109
ILLINOIS,2010,12830632.0,55835,706.0,3033.0,20054.0,32042.0,343989,75399.0,239794.0,28796.0,435.1695224366189,5.502456932752806,23.638742035466375,156.2978347442277,249.73048872417198,2680.9980989245114,587.6483714909756,1868.9180704426717,224.43165699086373
INDIANA,2010,6483802.0,20389,292.0,1761.0,6219.0,12117.0,197260,47115.0,137027.0,13118.0,314.46055878942633,4.503530490289494,27.15999038835547,95.91594561339164,186.8810922973897,3042.350768885293,726.6569830479092,2113.3742208660906,202.3195649712931
IOWA,2010,3046355.0,8333,39.0,836.0,1011.0,6447.0,68315,16656.0,47883.0,3776.0,273.54001749631936,1.2802184906223997,27.44263226052118,33.1872024107499,211.6299643344259,2242.51605607357,546.7517738411971,1571.812871448009,123.9514107843636
KANSAS,2010,2853118.0,10531,100.0,1107.0,1544.0,7780.0,89015,19404.0,63602.0,6009.0,369.1049581545523,3.5049374053228783,38.79965707692426,54.116233538185234,272.6841301341199,3119.92003134816,680.0980541288513,2229.210288533457,210.61168868585176
KENTUCKY,2010,4339367.0,10528,187.0,1381.0,3748.0,5212.0,110709,30311.0,74189.0,6209.0,242.6160313243844,4.30938429499049,31.824918242683786,86.37204458622652,120.10968420048361,2551.270726813381,698.512017997095,1709.6733233211203,143.08538549516555
LOUISIANA,2010,4533372.0,24886,510.0,1233.0,5211.0,17932.0,165357,45435.0,110029.0,9893.0,548.9512001221166,11.249904044936088,27.19829742628666,114.94754897678814,395.5554496741057,3647.5497708990124,1002.234098591512,2427.089592471123,218.2260798363779
MAINE,2010,1328361.0,1621,24.0,389.0,414.0,794.0,32934,7359.0,24585.0,990.0,122.03008067836981,1.806737776854334,29.284208133180666,31.166226650737265,59.77290811759755,2479.2959142883597,553.9909708279602,1850.7770101651583,74.52793329524128
MARYLAND,2010,5773552.0,31620,430.0,1227.0,11054.0,18909.0,173051,36542.0,118458.0,18051.0,547.6697880265043,7.447754865635574,21.252081907290346,191.45926112729217,327.5106901262862,2997.3056447746553,632.9206006978027,2051.735222961532,312.6498211153204
MASSACHUSETTS,2010,6547629.0,30553,210.0,1745.0,6874.0,21724.0,153905,37767.0,104685.0,11453.0,466.62692709070717,3.2072678522255917,26.650868581588846,104.98456769618437,331.7842229607084,2350.5455180799036,576.8042141666854,1598.8230243344576,174.9182795787605
MICHIGAN,2010,9883640.0,48460,567.0,4673.0,11493.0,31727.0,268201,73868.0,166980.0,27353.0,490.30519120485974,5.736752856235152,47.28015184689042,116.28306980019507,321.0052167015391,2713.585278298279,747.3764726355877,1689.4585395663946,276.7502660962965
MINNESOTA,2010,5303925.0,12515,96.0,1798.0,3388.0,7233.0,136431,24415.0,103429.0,8587.0,235.95733348416502,1.8099803447446938,33.899423540114164,63.87722299994815,136.37070659935802,2572.264879311076,460.31948038480937,1950.0464278812387,161.89897104502796
MISSISSIPPI,2010,2967297.0,8003,208.0,927.0,2779.0,4089.0,88574,30444.0,52770.0,5360.0,269.70673983763675,7.009746580810751,31.240553271209453,93.65425840419749,137.80218158141903,2985.0062194650554,1025.984254356743,1778.3861878335738,180.63577727473862
MISSOURI,2010,5988927.0,27252,420.0,1432.0,6132.0,19268.0,200414,44043.0,140320.0,16051.0,455.03977590643535,7.012942385171835,23.910794037062065,102.38895882350879,321.72708066069265,3346.409131385305,735.4071939764835,2342.9906559221713,268.0112814866503
MONTANA,2010,989415.0,2693,26.0,321.0,157.0,2189.0,25169,3654.0,19989.0,1526.0,272.1810362689063,2.6278154262872504,32.44341353223875,15.867962381811473,221.24184492856892,2543.8264024701466,369.3091372174467,2020.2847136944558,154.232551558244
NEBRASKA,2010,1826341.0,5104,54.0,672.0,1025.0,3353.0,48821,8326.0,36881.0,3614.0,279.465882877294,2.956731519469803,36.79488113117977,56.123144582528674,183.59112564411575,2673.15906503769,455.8841968723256,2019.392873510478,197.88199465488646
NEVADA,2010,2700551.0,17841,158.0,965.0,5298.0,11420.0,74932,22226.0,42521.0,10185.0,660.6429576778961,5.8506578842613965,35.733448470330686,196.1821865241575,422.8766647991465,2774.6930163511074,823.0172287062899,1574.5305309916384,377.14525665317933
