state,year,population_16_plus,in_labor_force_16_plus,employed_16_plus,unemployment_rate_total,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_16_19,unemployment_rate_age_20_24,unemployment_rate_age_25_44,unemployment_rate_age_45_54,unemployment_rate_age_55_64,unemployment_rate_age_65_74,unemployment_rate_age_75_plus,unemployment_rate_white,unemployment_rate_black,unemployment_rate_native_american,unemployment_rate_asian,unemployment_rate_pacific_islander,unemployment_rate_other_race,unemployment_rate_two_or_more_races,unemployment_rate_hispanic,unemployment_rate_white_non_hispanic
ALABAMA,2010,3714504.0,60.5,54.8,8.7,7.5,8.1,28.3,15.9,7.9,5.8,4.6,4.6,4.7,6.7,14.6,10.8,5.6,0.5,8.6,12.7,8.7,6.6
ALASKA,2010,528189.0,72.0,62.9,8.6,8.8,6.6,23.0,14.8,7.9,5.8,6.0,4.6,4.5,6.3,8.9,21.7,4.7,11.3,9.9,14.1,9.0,6.3
ARIZONA,2010,4813496.0,62.2,57.1,7.7,7.2,6.6,22.1,11.5,6.6,5.9,5.7,5.8,7.3,6.8,11.6,16.8,6.4,6.3,9.4,12.3,9.3,6.2
ARKANSAS,2010,2247624.0,60.9,55.8,7.8,7.2,6.9,25.1,13.9,7.2,5.4,3.9,4.5,3.7,6.5,15.2,9.4,5.7,19.4,7.9,10.4,7.5,6.4
CALIFORNIA,2010,28445585.0,64.7,58.5,9.0,8.2,8.2,28.1,14.0,7.9,7.0,6.7,6.5,5.8,8.4,14.2,14.2,7.2,11.1,10.2,12.9,10.6,7.4
COLORADO,2010,3820290.0,69.8,64.3,6.8,6.3,5.9,22.6,11.1,5.6,5.2,5.4,5.0,4.0,6.2,12.4,14.7,5.4,10.4,10.4,11.7,9.7,5.8
CONNECTICUT,2010,2820837.0,68.1,62.6,7.6,7.0,6.7,23.2,13.1,6.8,5.6,5.4,6.7,5.2,6.4,13.5,12.4,6.4,10.2,14.9,12.8,13.2,6.0
DELAWARE,2010,700375.0,64.9,59.8,7.1,6.7,6.0,22.3,12.2,6.0,5.5,4.6,6.4,6.0,6.0,11.0,16.7,4.0,0.0,7.8,15.4,8.9,5.9
FLORIDA,2010,14988197.0,61.3,55.5,8.9,8.3,7.9,26.2,13.7,7.9,6.9,7.1,7.3,7.4,7.9,13.6,12.2,6.7,9.5,9.8,11.8,9.2,7.6
GEORGIA,2010,7287745.0,65.5,59.0,8.8,7.8,8.2,28.9,15.7,7.7,6.3,6.0,5.5,5.6,6.7,13.7,13.6,6.0,12.0,8.4,13.5,8.7,6.6
HAWAII,2010,1068287.0,66.8,59.6,5.6,5.8,4.4,20.5,10.3,5.3,4.1,3.5,2.9,2.3,5.6,7.6,6.0,3.4,9.2,5.4,8.7,9.6,5.4
IDAHO,2010,1153611.0,65.5,60.6,7.0,6.8,5.5,20.0,10.3,5.8,5.1,5.7,5.4,4.8,6.7,16.8,13.6,8.1,7.2,7.8,13.1,10.1,6.4
ILLINOIS,2010,9967535.0,66.8,60.8,8.6,8.3,7.3,25.9,14.0,7.5,6.8,6.1,4.8,4.0,7.0,17.6,12.3,6.4,6.9,9.6,13.3,10.0,6.7
INDIANA,2010,4996762.0,65.6,60.0,8.4,8.1,7.3,23.5,13.3,7.9,6.2,5.5,4.7,4.1,7.5,16.7,14.6,6.1,10.0,10.4,13.4,11.0,7.4
IOWA,2010,2377835.0,69.1,65.3,5.3,5.0,4.3,16.1,8.8,4.7,3.8,3.0,2.9,2.3,4.9,14.6,15.8,4.8,7.2,9.1,12.4,9.8,4.8
KANSAS,2010,2175144.0,68.7,63.9,6.0,5.5,5.1,18.5,9.5,5.5,4.2,3.7,3.1,2.1,5.2,15.7,7.6,6.3,13.1,8.3,11.5,8.4,5.0
KENTUCKY,2010,3383799.0,60.8,55.3,8.2,7.9,7.1,23.1,14.3,7.8,5.6,4.7,4.1,3.0,7.7,14.4,15.9,5.2,3.9,7.5,15.3,9.7,7.6
LOUISIANA,2010,3455412.0,61.7,56.5,7.7,7.2,6.8,24.7,13.4,7.0,5.3,4.6,3.8,3.4,5.3,13.4,9.1,6.8,1.1,6.6,9.5,7.4,5.2
MAINE,2010,1083357.0,65.2,60.7,6.5,6.6,5.1,19.0,12.6,6.0,4.6,4.2,4.3,3.5,6.3,15.7,18.6,4.6,1.9,7.8,13.9,11.1,6.3
MARYLAND,2010,4503062.0,69.6,64.5,6.6,6.2,5.5,22.9,12.7,5.7,4.4,4.2,4.3,3.2,4.9,10.2,10.2,4.5,1.3,8.3,9.7,7.7,4.8
MASSACHUSETTS,2010,5224911.0,67.7,62.6,7.4,7.5,5.8,21.4,12.1,6.4,5.6,5.6,5.9,4.8,6.6,13.7,16.5,7.1,8.8,12.4,11.4,12.4,6.4
MICHIGAN,2010,7836314.0,63.1,55.8,11.5,11.6,9.4,30.1,17.4,10.7,8.8,8.1,7.3,6.2,9.9,21.6,16.7,7.4,11.1,14.6,18.3,15.1,9.8
MINNESOTA,2010,4111966.0,71.0,66.4,6.4,6.5,4.8,18.8,10.4,5.4,4.8,5.0,3.9,3.7,5.6,16.7,18.3,8.0,12.7,8.2,13.2,8.9,5.5
MISSISSIPPI,2010,2274381.0,59.8,53.5,9.6,8.6,8.6,32.2,19.1,8.6,5.8,4.9,3.9,3.9,6.3,15.7,10.8,4.0,17.8,9.0,14.1,8.5,6.3
MISSOURI,2010,4664019.0,65.2,59.9,7.4,7.2,6.3,21.8,11.7,6.7,5.7,4.7,4.3,3.7,6.3,16.3,10.2,4.4,7.7,7.9,11.2,8.9,6.3
MONTANA,2010,778518.0,65.3,61.2,5.7,6.0,4.1,17.7,10.1,4.8,4.1,4.1,3.3,3.1,4.9,10.2,19.2,6.6,15.2,3.9,9.5,8.1,4.8
NEBRASKA,2010,1397699.0,71.1,67.1,5.1,4.7,4.3,15.5,8.8,4.5,3.5,3.1,3.2,2.0,4.4,15.0,18.6,5.0,10.2,7.8,12.3,7.9,4.2
NEVADA,2010,2050325.0,67.7,61.2,9.0,8.6,7.8,24.6,13.0,7.7,7.7,7.5,8.8,9.4,8.5,13.7,15.3,6.8,9.3,8.8,12.3,9.8,8.1
NEW HAMPSHIRE,2010,1056843.0,70.0,65.8,5.9,5.3,5.0,18.7,9.9,4.9,4.3,4.7,4.3,4.3,5.7,9.2,1.9,7.4,9.2,10.7,9.4,11.1,5.6
NEW JERSEY,2010,6893087.0,66.7,61.4,7.8,7.1,7.1,23.3,13.5,6.9,6.1,6.1,7.0,7.1,6.9,13.0,12.2,5.6,10.0,8.7,12.0,9.1,6.6
NEW MEXICO,2010,1561181.0,61.9,56.9,7.2,6.8,6.3,21.1,13.1,6.6,4.8,4.6,4.1,5.7,6.5,8.9,11.8,6.2,3.0,8.1,10.1,8.3,5.4
NEW YORK,2010,15394140.0,63.7,58.8,7.5,7.3,6.6,23.7,14.1,6.7,5.4,5.3,5.5,5.4,6.2,11.9,13.0,7.0,8.3,10.4,12.0,10.0,5.9
NORTH CAROLINA,2010,7287107.0,64.9,58.1,8.8,8.1,7.9,26.2,15.0,7.8,6.6,6.0,5.6,4.0,7.2,14.0,11.2,6.6,5.4,9.1,14.0,10.3,7.0
NORTH DAKOTA,2010,529990.0,70.0,66.4,3.6,3.5,2.8,11.7,6.7,3.0,2.3,1.8,2.1,1.5,3.0,11.8,14.0,3.0,4.9,9.8,7.7,7.6,3.0
OHIO,2010,9079315.0,64.9,59.1,8.6,8.6,7.0,25.4,14.4,8.0,6.2,5.7,4.5,3.7,7.5,17.3,15.3,4.9,7.7,11.3,15.7,11.7,7.4
OKLAHOMA,2010,2866572.0,63.0,58.4,6.2,5.6,5.6,18.9,10.2,5.8,4.2,3.6,3.1,1.5,5.2,11.5,9.7,4.3,12.6,6.9,9.4,6.5,5.2
OREGON,2010,3000732.0,64.5,58.8,8.7,8.8,7.1,24.3,13.6,7.9,6.8,6.5,7.0,3.4,8.4,14.9,13.6,6.5,17.0,9.9,12.9,10.1,8.3
PENNSYLVANIA,2010,10147657.0,63.2,58.5,7.3,7.0,6.1,22.8,13.2,6.5,5.2,4.7,4.8,4.7,6.3,14.9,12.3,6.7,15.2,14.1,14.2,12.8,6.1
RHODE ISLAND,2010,855547.0,66.0,60.3,8.0,8.0,6.6,21.1,13.2,6.6,6.2,6.6,5.5,5.4,7.1,11.7,18.2,8.4,11.0,14.3,15.7,13.8,6.9
SOUTH CAROLINA,2010,3567959.0,62.9,56.1,9.3,8.5,8.6,25.5,16.1,8.5,6.9,6.0,6.6,4.7,7.1,14.8,16.5,6.2,4.4,8.8,13.5,10.2,7.0
SOUTH DAKOTA,2010,623566.0,69.5,65.8,4.7,4.6,3.6,15.6,7.9,4.2,3.2,2.8,1.9,1.1,3.1,15.5,24.7,11.0,3.0,6.3,10.3,7.3,3.1
TENNESSEE,2010,4919958.0,63.0,57.2,8.6,7.9,7.9,24.6,15.0,7.9,6.4,5.3,5.4,4.5,7.4,14.9,10.2,4.7,11.7,8.7,12.6,8.6,7.3
TEXAS,2010,18380464.0,65.6,60.5,7.0,6.0,6.6,22.8,12.0,6.1,4.7,4.6,4.4,3.9,6.1,11.8,9.9,5.8,9.2,8.1,9.7,7.9,5.3
UTAH,2010,1907903.0,69.2,64.8,5.9,5.2,4.9,16.6,8.1,4.7,4.3,3.9,3.6,5.7,5.5,10.0,13.6,5.2,14.0,8.8,10.3,8.7,5.2
VERMONT,2010,509527.0,68.9,64.7,5.9,5.9,4.6,17.0,10.8,5.4,4.1,3.8,4.8,1.6,5.8,11.3,13.1,3.9,0.0,3.2,10.7,5.8,5.8
VIRGINIA,2010,6216349.0,67.4,61.5,5.9,5.3,5.2,22.2,11.6,5.1,4.0,3.7,3.1,3.3,4.8,10.0,9.1,4.6,10.6,7.6,9.9,7.0,4.7
WASHINGTON,2010,5186380.0,66.2,60.3,7.6,7.2,6.4,23.9,13.3,6.7,5.4,5.2,5.2,6.0,7.0,13.0,16.4,5.7,14.2,10.0,12.5,9.9,6.9
WEST VIRGINIA,2010,1498611.0,55.0,51.0,7.1,7.2,5.6,24.5,13.8,7.0,4.5,3.6,2.3,4.7,6.9,10.3,11.5,5.8,0.0,9.5,17.5,7.0,6.9
WISCONSIN,2010,4458387.0,69.0,64.4,6.7,6.8,5.2,17.6,10.5,6.1,4.9,4.8,4.5,4.3,5.8,18.0,16.0,7.4,9.5,9.2,13.8,10.0,5.7
WYOMING,2010,429389.0,70.0,66.2,4.4,3.9,4.0,13.1,7.7,4.0,3.0,2.5,4.1,2.6,4.2,11.6,12.3,5.4,14.1,4.7,6.0,6.6,4.0
ALABAMA,2011,3748844.0,60.3,54.1,9.6,8.6,8.9,30.0,17.3,8.9,6.7,5.4,5.2,4.9,7.5,15.6,11.8,4.9,0.7,10.3,15.9,9.9,7.5
ALASKA,2011,536544.0,71.7,62.6,8.4,8.9,6.6,20.6,14.5,8.0,6.1,6.0,4.3,4.0,6.4,9.3,20.7,5.0,8.8,9.6,12.4,9.1,6.3
ARIZONA,2011,4895581.0,61.8,55.9,8.9,8.5,7.6,25.3,13.5,7.7,7.2,6.7,6.9,7.9,8.0,14.0,19.5,6.9,8.6,11.3,13.6,11.0,7.2
ARKANSAS,2011,2267563.0,60.6,55.2,8.4,7.9,7.2,26.3,14.8,7.8,5.9,4.0,4.9,3.8,6.9,16.0,9.8,6.5,14.6,8.0,11.5,7.5,6.9
CALIFORNIA,2011,28796402.0,64.7,57.7,10.1,9.4,9.2,30.8,15.8,8.9,8.0,7.8,7.5,6.4,9.5,15.6,15.6,7.9,12.8,11.6,14.0,11.9,8.4
COLORADO,2011,3888310.0,69.7,63.7,7.6,7.1,6.5,24.3,12.2,6.3,5.9,6.0,6.3,5.3,7.0,14.0,15.3,6.1,11.5,11.4,12.1,10.6,6.5
CONNECTICUT,2011,2839677.0,68.2,62.1,8.5,8.0,7.4,24.6,14.5,7.7,6.3,6.3,7.8,6.1,7.2,15.0,12.5,7.1,9.7,15.7,13.7,14.0,6.8
DELAWARE,2011,709757.0,64.7,59.2,7.7,7.4,6.6,24.2,12.7,6.9,6.0,5.2,6.3,5.6,6.5,11.8,14.4,4.9,0.0,10.9,15.1,10.1,6.4
FLORIDA,2011,15169949.0,61.1,54.4,10.3,9.9,9.1,29.4,15.8,9.3,8.2,8.4,8.4,8.8,9.2,15.6,13.2,7.4,11.8,11.7,13.6,10.8,8.8
GEORGIA,2011,7402545.0,65.0,57.9,9.9,8.9,9.1,31.3,17.4,8.7,7.2,7.0,6.3,6.4,7.6,14.9,14.7,6.7,9.1,8.9,14.8,9.5,7.5
HAWAII,2011,1079024.0,66.5,58.9,6.4,6.7,4.9,23.6,11.6,6.1,4.6,4.1,3.1,3.0,6.4,9.5,7.9,3.8,11.0,5.0,9.4,10.5,6.1
IDAHO,2011,1172324.0,65.1,59.7,7.9,7.8,6.0,22.7,12.0,6.5,6.0,6.3,7.2,4.0,7.6,19.2,14.9,9.0,8.6,10.1,12.1,11.2,7.3
ILLINOIS,2011,10029404.0,66.7,60.3,9.3,9.2,7.9,27.3,15.0,8.3,7.5,6.9,5.4,4.7,7.7,18.9,15.4,6.6,7.9,10.6,13.5,10.9,7.4
INDIANA,2011,5035313.0,65.2,59.3,9.0,8.7,7.8,24.3,14.4,8.6,6.6,6.0,5.2,4.7,8.1,17.1,15.3,5.9,14.2,11.7,13.7,12.2,8.0
IOWA,2011,2392818.0,68.8,65.0,5.5,5.3,4.5,16.7,9.6,4.8,4.1,3.2,2.8,3.1,5.1,15.8,13.5,5.0,18.5,8.1,13.1,9.0,5.0
KANSAS,2011,2192495.0,68.7,63.6,6.4,6.0,5.5,19.1,10.4,5.9,4.7,4.0,3.3,2.5,5.6,15.6,9.7,6.9,12.2,9.4,12.9,8.9,5.4
KENTUCKY,2011,3412180.0,60.5,54.7,8.9,8.7,7.7,24.3,15.3,8.6,6.3,5.2,4.7,3.6,8.3,16.1,16.1,6.4,10.6,7.6,16.8,10.8,8.2
LOUISIANA,2011,3503250.0,61.7,56.4,8.0,7.5,7.0,25.5,14.1,7.3,5.3,4.9,4.3,3.4,5.7,13.4,9.2,5.6,4.7,5.9,10.5,7.2,5.6
MAINE,2011,1086610.0,65.1,60.2,7.1,7.4,5.6,19.9,13.3,6.6,5.5,4.7,5.0,3.2,6.9,17.4,21.0,5.2,2.9,8.0,15.6,11.9,6.9
MARYLAND,2011,4547457.0,69.6,64.0,7.3,7.0,6.1,24.4,14.0,6.5,4.9,4.7,4.8,4.3,5.5,11.0,10.4,4.7,1.5,8.9,10.4,8.2,5.4
MASSACHUSETTS,2011,5267692.0,67.8,62.3,8.1,8.2,6.4,22.9,12.7,7.1,6.3,6.3,6.5,5.4,7.2,14.4,17.7,7.6,6.7,13.6,12.5,13.2,7.0
MICHIGAN,2011,7840553.0,62.7,54.9,12.3,12.5,10.1,31.1,18.1,11.5,9.5,8.8,8.1,6.6,10.6,23.0,16.9,7.7,8.9,15.8,18.9,15.9,10.4
MINNESOTA,2011,4147665.0,70.9,65.9,6.9,7.1,5.2,19.6,10.8,5.9,5.4,5.5,4.3,4.3,6.0,17.5,19.2,8.6,17.3,9.3,14.7,9.7,5.9
MISSISSIPPI,2011,2287478.0,59.4,52.9,10.0,9.1,9.1,32.6,20.3,9.3,5.9,5.4,4.5,5.5,6.8,16.0,10.5,3.6,21.8,10.4,13.9,8.7,6.8
MISSOURI,2011,4700400.0,65.0,59.4,8.1,8.0,6.7,22.8,12.9,7.4,6.2,5.4,4.9,4.5,6.9,17.2,12.9,4.4,9.8,9.7,12.7,9.6,6.8
MONTANA,2011,786732.0,65.2,60.6,6.4,6.8,4.7,20.0,11.4,5.5,4.6,4.8,3.8,2.5,5.6,9.4,20.5,9.2,9.3,3.6,10.4,8.2,5.5
NEBRASKA,2011,1409203.0,71.0,66.8,5.4,5.0,4.6,17.0,9.6,4.8,3.7,3.3,3.1,2.4,4.7,15.9,18.0,4.9,9.1,9.0,11.4,9.2,4.5
NEVADA,2011,2086005.0,67.2,59.7,10.4,10.2,9.0,28.4,15.3,9.0,9.0,8.7,9.9,11.9,10.0,15.0,19.8,7.8,11.7,10.2,14.7,11.8,9.4
NEW HAMPSHIRE,2011,1063324.0,69.9,65.4,6.3,5.9,5.3,19.3,10.2,5.4,4.8,5.0,4.8,4.7,6.1,9.0,5.6,8.9,13.5,10.9,9.7,12.6,6.0
