state,year,total_households,median_income_household,median_income_family,median_income_married,median_income_nonfamily,mean_income_household,mean_income_family,mean_income_married,mean_income_nonfamily
ALABAMA,2010,1821210,42081,52863,65188,22933,57655,68275,80927,33317
ALASKA,2010,248248,66521,77886,90821,42502,82091,93053,106686,53784
ARIZONA,2010,2326468,50448,59840,70143,33003,67436,77127,88273,45232
ARKANSAS,2010,1117154,39267,48491,57984,22039,53253,62497,72578,31538
CALIFORNIA,2010,12392852,60883,69322,82998,40588,83483,92942,107696,58117
COLORADO,2010,1918959,56456,70046,81153,35617,75264,89099,100749,47659
CONNECTICUT,2010,1359218,67740,84170,99153,38362,94306,112576,130904,53771
DELAWARE,2010,331639,57599,69182,82173,35567,74703,86238,99994,46928
FLORIDA,2010,7152844,47661,57204,67386,30716,66323,77033,88958,43530
GEORGIA,2010,3468704,49347,58790,72342,30698,66620,76702,91178,42337
HAWAII,2010,442267,66420,77245,87266,39069,83037,93549,103946,52392
IDAHO,2010,570283,46423,54689,61184,27298,59460,67887,74663,37201
ILLINOIS,2010,4769951,55735,68236,80723,33299,75140,88178,102342,46957
INDIANA,2010,2465402,47697,58944,68911,27712,61285,72100,82725,36725
IOWA,2010,1215954,48872,61804,69718,27539,61833,74383,82925,36142
KANSAS,2010,1101672,49424,62424,71637,28078,64994,77722,87818,37614
KENTUCKY,2010,1676708,41576,52046,62092,23316,56009,66166,76469,33085
LOUISIANA,2010,1641165,43445,53702,68693,24649,60003,70357,85591,35912
MAINE,2010,551125,46933,58185,66076,26931,60036,71146,79812,37165
MARYLAND,2010,2121047,70647,85098,101893,43790,91454,106643,124707,56529
MASSACHUSETTS,2010,2512552,64509,81165,96167,37606,85897,103038,119828,52668
MICHIGAN,2010,3843997,48432,60341,71532,28344,63692,75399,87197,38459
MINNESOTA,2010,2085917,57243,71307,80814,33431,73561,87853,98520,44200
MISSISSIPPI,2010,1081052,37881,47031,60744,20841,52484,61026,74877,31070
MISSOURI,2010,2349955,46262,57661,67656,26966,61238,72756,83562,36940
MONTANA,2010,401328,43872,55725,62796,25972,56886,68016,75452,35139
NEBRASKA,2010,711771,49342,61888,69944,27833,62707,74985,83878,37082
NEVADA,2010,979621,55726,64418,75072,37722,72112,80889,92515,50999
NEW HAMPSHIRE,2010,513804,63277,76446,85872,36345,79105,91940,101917,48974
NEW JERSEY,2010,3176069,69811,84904,100572,39306,93475,109067,126200,54673
NEW MEXICO,2010,756112,43820,52565,64734,28046,59223,68180,80198,39199
NEW YORK,2010,7205740,55603,67405,82669,34776,80374,93102,111155,53883
NORTH CAROLINA,2010,3626179,45570,56153,67555,27473,61781,72592,84983,38049
NORTH DAKOTA,2010,276642,46781,62920,69952,26089,60581,75645,83619,34769
OHIO,2010,4552270,47358,59680,70937,27366,62205,74164,86431,37331
OKLAHOMA,2010,1421705,42979,53607,63254,25292,58099,68677,79172,34803
OREGON,2010,1499267,49260,60402,69733,30525,64554,75934,86054,41644
PENNSYLVANIA,2010,4940581,50398,63364,73922,27887,67282,80704,92480,39573
RHODE ISLAND,2010,410305,54902,70663,83876,31376,71934,86486,100471,44372
SOUTH CAROLINA,2010,1741994,43939,54223,66954,26035,58941,69172,82501,35688
SOUTH DAKOTA,2010,315468,46369,58958,66724,26227,59729,72049,81220,34380
TENNESSEE,2010,2443475,43314,53246,63921,25589,59212,69725,81490,35575
TEXAS,2010,8539206,49646,58142,70916,31155,68700,78037,91404,43876
UTAH,2010,859158,56330,64013,69817,32535,70375,78490,85190,42454
VERMONT,2010,256612,51841,64135,72966,30315,65886,78467,88190,40893
VIRGINIA,2010,2974481,61406,73514,86545,38339,82584,95703,109976,52759
WASHINGTON,2010,2577375,57244,69328,80044,36369,74331,86528,98047,48826
WEST VIRGINIA,2010,740874,38380,48896,56105,20780,51064,60821,68496,30403
WISCONSIN,2010,2274611,51598,64869,74017,30029,65273,77985,88076,39090
WYOMING,2010,217688,53802,65964,74489,30844,68283,80366,88935,41196
ALABAMA,2011,1831269,42934,54001,66794,23864,59015,69766,82944,34438
ALASKA,2011,252920,69014,80178,93464,44002,84767,95770,109914,56254
ARIZONA,2011,2344215,50752,60237,71149,33128,67885,77760,89426,45358
ARKANSAS,2011,1121386,40149,49791,59555,22497,54723,64332,74759,32362
CALIFORNIA,2011,12433172,61632,70231,84652,40802,85148,94747,110193,59306
